Id,SalePrice
1461,130986.46901359379
1462,130986.46901359379
1463,190535.2114447802
1464,188424.62125365977
1465,186769.20265230184
1466,177505.993887887
1467,130986.46901359379
1468,179579.20790139545
1469,167705.08995285365
1470,130986.46901359379
1471,185652.19437490977
1472,99088.46992824777
1473,100962.78874750082
1474,146309.31191901572
1475,123103.62830112455
1476,368097.499341526
1477,245340.43035701624
1478,321586.3726575637
1479,332954.7906671056
1480,490968.565757181
1481,326117.75102314574
1482,200074.57763857915
1483,191436.6172413087
1484,183805.22273826442
1485,183059.29841301718
1486,194667.48358428033
1487,306367.9799009957
1488,193980.1228744241
1489,216751.70510784705
1490,212708.57766835342
1491,194898.19790725026
1492,82902.59710536734
1493,149613.7847363468
1494,268372.11580564454
1495,268957.06463164464
1496,220976.81792117402
1497,171060.4255317758
1498,157147.38936629696
1499,132405.438922792
1500,164520.8149848308
1501,165667.4969489231
1502,157667.99335115586
1503,208019.0895416808
1504,225144.25205712917
1505,225500.1014215301
1506,172670.2840390537
1507,245383.48568553803
1508,176613.57953089094
1509,167224.5293873741
1510,149625.48526359876
1511,147736.66908498915
1512,173794.1907278555
1513,148799.8555458929
1514,127400.80677390957
1515,172821.35446519207
1516,141541.7802856544
1517,130986.46901359379
1518,136818.51437997745
1519,130986.46901359379
1520,131362.13960838874
1521,143962.70165098875
1522,169792.51689105513
1523,111775.65878456677
1524,129206.33254071709
1525,124153.42410693644
1526,125282.16755869474
1527,117030.39216306127
1528,130986.46901359379
1529,134616.41997717466
1530,149267.179891238
1531,134644.0247599542
1532,98601.11211695794
1533,152802.6009592069
1534,123993.32831252532
1535,138731.17570893897
1536,121078.73316304182
1537,58657.92688327764
1538,146791.771430736
1539,153417.4822168396
1540,110423.59882288841
1541,118804.23439980176
1542,135111.85371102215
1543,167471.90414967944
1544,87614.68997396991
1545,113081.38323128967
1546,117072.47663504336
1547,135900.79976055745
1548,117456.73515451979
1549,104223.86737631912
1550,130034.18920853575
1551,112155.36663369568
1552,140349.10533922637
1553,169285.47016920068
1554,131296.3853031701
1555,166651.7083802064
1556,94347.71413727631
1557,92851.05182327692
1558,120266.82225706238
1559,67360.97701934457
1560,113244.88462086376
1561,127087.1165318234
1562,130986.46901359379
1563,132985.66651223332
1564,140005.4029172652
1565,156688.86288815155
1566,247085.51567954733
1567,86818.52342618555
1568,241615.09517809565
1569,130986.46901359379
1570,130986.46901359379
1571,136306.8127899575
1572,138057.26689959093
1573,230886.89675889167
1574,95013.73119918833
1575,276942.16221276164
1576,226293.75597140225
1577,209114.06202582066
1578,147476.10504146246
1579,143231.95916069168
1580,204771.18724541322
1581,154280.7976541551
1582,128352.16142283712
1583,317574.9527732401
1584,219863.5480165619
1585,140238.32269955883
1586,92781.03469744402
1587,109654.89770758878
1588,136941.744148061
1589,138168.96196285234
1590,132729.3449163807
1591,111808.4959538155
1592,112172.48164283884
1593,130986.46901359379
1594,130986.46901359379
1595,113273.40012897097
1596,186794.85339768732
1597,162118.9614007115
1598,205425.65777057598
1599,150458.13532657688
1600,163551.05979940758
1601,72409.41620298245
1602,138949.3862954801
